positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters		
CAIX_CD103_CD11b_CD11c_CD14_CD163_CD20_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panCK_PDL1_TCRd_TIM3_VISTA	B cells	Neutrophils	Ambiguous	Ambiguous	F	NA	Monocytes	209		
CAIX_CD103_CD11b_CD11c_CD14_CD163_CD20_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panCK_PDL1_TCRd_TIM3_VISTA	B cells	Neutrophils	Ambiguous	Ambiguous	FALSE	Monocytes	209	Monocytes		
CAIX_CD103_CD11b_CD11c_CD14_CD20_CD38_CD4_CD45_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_PDL1_TCRd_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	FastPG_False	Monocytes	133	Monocytes	
CAIX_CD103_CD11b_CD11c_CD14_CD20_CD38_CD4_CD45_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_PDL1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	FastPG_False	Myeloid cells	187	Myeloid cells	
CAIX_CD103_CD11b_CD11c_CD16_CD163_CD20_CD206_CD3_CD31_CD56_CD66b_CD68_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_TIM3_VISTA	Macrophages	Neutrophils	Ambiguous	Ambiguous	F	NA	1117	Macrophages		
CAIX_CD103_CD11b_CD11c_CD16_CD163_CD20_CD206_CD31_CD56_CD66b_CD68_CD73_CD79a_CD8a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_TIM3_VISTA	Macrophages	Neutrophils	Ambiguous	Ambiguous	F	NA	1117	Macrophages		
CAIX_CD103_CD11b_CD11c_CD16_CD163_CD20_CD38_CD56_CD66b_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PD1_PDL1_TCRd_VISTA	B cells	Neutrophils	Ambiguous	Ambiguous	F	NA	14	Excluded B cells		
CAIX_CD103_CD11b_CD11c_CD163_CD20_CD206_CD3_CD31_CD56_CD66b_CD68_CD73_CD8a_CLEC9a_GZMB_IDO_LAG3_panCK_TCRd_VISTA	Macrophages	M2	NA	NA	T	NA	582	Macrophages		
CAIX_CD103_CD11b_CD11c_CD163_CD20_CD206_CD31_CD56_CD66b_CD68_CD73_CD8a_CLEC9a_GZMB_IDO_LAG3_MPO_panCK_TCRd_VISTA	Macrophages	Neutrophils	Ambiguous	Ambiguous	F	NA	582	Macrophages		
CAIX_CD103_CD11b_CD11c_CD163_CD56_CD66b_CD73_CD79a_CD8a_CLEC9a_GZMB_LAG3_MCT4_MPO_TCRd	Macrophages	Neutrophils	Ambiguous	Ambiguous	F	FastPG_False	Myeloid cells	176	Myeloid cells	
CAIX_CD103_CD11b_CD11c_CD56_CD66b_CD73_CLEC9a_GZMB_LAG3_MCT4_MPO_TCRd	Myeloid cells	Neutrophils	NA	NA	T	NA	173	Myeloid cells		
CAIX_CD103_CD11b_CD11c_CD66b_CD73_CLEC9a_GZMB_MPO_panCK_PD1_TCRd	Epithelial cells	Neutrophils	Epithelial cells	Epithelial cells	F	NA	1333	Excluded Epithelial cells		
CAIX_CD103_CD11b_CD14_CD16_CD163_CD31_CD38_CD45_CD56_CD66b_CD68_CD73_CLEC9a_GZMB_KIR2DL3_LAG3_MCT4_MPO_panactin_PDL1_TCRd_VISTA	Macrophages	Neutrophils	Ambiguous	Ambiguous	F	NA	65	Excluded Monocytes		
CAIX_CD103_CD11b_CD14_CD163_CD20_CD38_CD45_CD56_CD66b_CD68_CLEC9a_GZMB_KIR2DL3_LAG3_MCT4_MPO_panactin_panCK_PDL1_TCRd_VISTA	Macrophages	Neutrophils	Ambiguous	Ambiguous	F	FastPG_False	Myeloid cells	4029	Myeloid cells	
