positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters
CD103_CD20_CD3_CD4_CD45_CD79a_CD8a_CLEC9a_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	225	Excluded CD8
CD103_CD20_CD3_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	230	Excluded CD8
CD11b_CD11c_CD14_CD20_CD45_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_PDL1_VISTA	B cells	mDC	Ambiguous	Ambiguous	F	NA	301	Excluded Myeloid cells
CD11b_CD11c_CD163_CD20_CD66b_CD79a_CLEC9a_GZMB_TCRd	B cells	mDC	B cells	B cells	F	NA	363	B cells
CD11b_CD20_CD73_CD79a_panactin	B cells	B cells	NA	NA	T	NA	301	Excluded Myeloid cells
CD11c_CD14_CD20_CD38_CD4_CD45_CD73_CD79a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PD1_PDL1_VISTA	B cells	mDC	Ambiguous	Ambiguous	F	NA	162	Excluded Leukocytes
CD11c_CD163_CD20_CD66b_CD79a_CLEC9a_GZMB_MPO_TCRd	B cells	Neutrophils	B cells	B cells	F	NA	363	B cells
CD11c_CD20_CD3_CD4_CD45_CD66b_CD79a_CD8a_IDO_MHCII_panactin_PD1_PDL1_TIM3_VISTA	B cells	mDC	Ambiguous	Ambiguous	F	NA	301	Excluded CD4
CD11c_CD20_CD3_CD4_CD45_CD79a_CD8a_IDO_MHCII_panactin	B cells	mDC	B cells	B cells	F	NA	7036	B cells
CD11c_CD20_CD38_CD4_CD45_CD66b_CD73_CD79a_CD8a_IDO_MHCII_panactin_VISTA	B cells	mDC	B cells	B cells	F	?	7036	B cells
CD11c_CD20_CD45_CD66b_CD79a_MHCII_panactin	B cells	mDC	B cells	B cells	F	NA	7797	B cells
CD11c_CD20_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_MHCII_panactin_TIM3_VISTA	B cells	mDC	B cells	B cells	F	NA	561	B cells
CD11c_CD20_CD45_CD79a_MHCII_panactin	B cells	mDC	B cells	B cells	F	NA	7797	B cells
CD11c_CD20_CD79a_MHCII_panactin	B cells	B cells	NA	NA	T	NA	6777	B cells
CD14_CD16_CD20_CD31_CD38_CD56_CD79a_CLEC9a_KIR2DL3_LAG3_TIM3_VISTA	B cells	Lymphocytes	B cells	B cells	F	NA	21398	B cells
CD14_CD31_CD38_CD56_CD79a_CLEC9a_KIR2DL3_LAG3_TIM3_VISTA	B cells	Endothelial cells	B cells	B cells	F	?	21398	B cells
CD16	B cells	B cells	NA	NA	TRUE		2224	B cells
CD16_CD20_CD79a	B cells	B cells	NA	NA	T	NA	2224	B cells
CD16_CD206_CD31_CD38_CD56_CD79a_CLEC9a_LAG3_VISTA	B cells	Endothelial cells	B cells	Plasma cells	F	NA	10950	B cells
CD163_CD20_CD206_CD3_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	1913	Macrophages
CD20	B cells	B cells	NA	NA	TRUE		17787	B cells
CD20_CD3_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	593	Excluded Leukocytes
CD20_CD3_CD4_CD45_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	193	Excluded CD4
CD20_CD3_CD4_CD45_CD79a_CD8a_CLEC9a_LAG3_panactin_PD1_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	440	Excluded Leukocytes
CD20_CD3_CD4_CD45_CD79a_CD8a_panactin	B cells	Lymphocytes	B cells	B cells	F	NA	11415	B cells
CD20_CD3_CD4_CD45_CD79a_CD8a_panactin_PD1_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	508	Excluded CD4
CD20_CD3_CD4_CD45_CD79a_LAG3_panactin_PD1	B cells	B cells	Ambiguous	Ambiguous	F	NA	287	Excluded CD4
CD20_CD3_CD45_CD79a_CD8a_MHCII_panactin	B cells	B cells	Ambiguous	Ambiguous	F	?	2519	CD8
CD20_CD31_CD38_CD45_CD56_CD66b_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_PDL1_TCRd_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	27	Excluded B cells
CD20_CD31_CD38_CD73_CD79a_CLEC9a_LAG3_TIM3_VISTA	B cells	Endothelial cells	Ambiguous	Ambiguous	F	NA	398	Endothelial cells
CD20_CD31_CD38_CD79a_CLEC9a_KIR2DL3_LAG3_TIM3_VISTA	B cells	Endothelial cells	Endothelial cells	Endothelial cells	F	NA	398	Endothelial cells
