positive	OldMajorType	OldCellType	majorType	cellType	Review	Comment	mostLikelyCelltype	cellCount	clusters	cellType_markers	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
215	CAIX_CLEC9a_LAG3_MCT4_panCK_TIM3	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		LowerConf Epithelial cells	6905	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
216	CLEC9a_panactin_panCK_PD1	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	NA	LowerConf Epithelial cells	8842	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
217	CAIX	Epithelial cells Region	Epithelial cells Region	Epithelial cells	Epithelial cells	NA	NA	Epithelial cells	8986	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
218	CAIX_CLEC9a_LAG3_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		LowerConf Epithelial cells	9002	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
219	CD79a	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	NA	NA	Epithelial cells	9193	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
220	CD66b_GZMB_IDO_LAG3_panCK_PDL1	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	FALSE		Epithelial cells	10129	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
221	CD38_CD66b_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	NA	LowerConf Epithelial cells	10526	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
222	IDO_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	NA	Epithelial cells|LowerConf Epithelial cells	10568	Epithelial cells_Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
223	CAIX_MCT4_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	NA	Epithelial cells	10935	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
224	MHCII	Epithelial cells Region	Epithelial cells Region	Epithelial cells	Epithelial cells	NA	NA	Epithelial cells	11358	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
225	CAIX_CD103_CD11c_CD56_CLEC9a_KIR2DL3_LAG3_MHCII_panCK_PDL1	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		LowerConf Epithelial cells	11747	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
226	CAIX_CLEC9a_IDO_LAG3_MCT4_MPO_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		Epithelial cells	12880	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
227	CD11c_CD66b_MHCII_panCK_PD1	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	NA	LowerConf Epithelial cells	12973	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
228	CAIX_CD103_CD56_CD73_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_panCK_PDL1_TIM3	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		Epithelial cells	13918	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
229	CAIX_CD11c_CLEC9a_LAG3_panCK_TIM3	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		LowerConf Epithelial cells	14567	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
230	MPO_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	NA	LowerConf Epithelial cells	15361	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
231	CD38	Epithelial cells Region	Plasma cells	Epithelial cells	Epithelial cells	FALSE	NA	Epithelial cells	15602	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
232	CAIX_CD56_CD66b_KIR2DL3_LAG3_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		Epithelial cells	15716	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
233	MPO	Epithelial cells Region	Neutrophils	Epithelial cells	Epithelial cells	FALSE	NA	Epithelial cells	15949	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
234	MHCII_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	NA	LowerConf Epithelial cells	19479	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
235	CAIX_CD103_CD11c_CD56_CD66b_CD79a_CLEC9a_IDO_KIR2DL3_LAG3_panCK_PDL1_TIM3	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	Assigned based on region	Epithelial cells	19801	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
236	panCK_PD1	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	NA	LowerConf Epithelial cells	20979	Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
237	CD73_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	NA	Epithelial cells|LowerConf Epithelial cells	31054	Epithelial cells_Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
238	CD68	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	NA	NA	Epithelial cells	36504	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
239	MCT4_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	NA	Epithelial cells|LowerConf Epithelial cells	36938	Epithelial cells_Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
240	CD11c_CD66b_MHCII_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		Epithelial cells	38111	Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
241	CAIX_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	FALSE	NA	Epithelial cells|LowerConf Epithelial cells	38769	Epithelial cells_Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
242	CD38_panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE	NA	LowerConf Epithelial cells|Epithelial cells	39341	Excluded Epithelial cells_Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
243	panCK	Epithelial cells	Epithelial cells	Epithelial cells	Epithelial cells	TRUE		Epithelial cells|LowerConf Epithelial cells	301066	Epithelial cells_Excluded Epithelial cells	panCK,CAM52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
244	CD11b_CD16_CD163_CD206	Macrophages	M2	Macrophages	M2	TRUE		Macrophages	611	Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
245	CD11c_CD16_CD163_CD206_CD66b_CD68_KIR2DL3_PDL1_TCRd	Macrophages	M2	Macrophages	M2	TRUE		LowerConf Macrophages	912	Excluded Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
246	CAIX_CD16_CD163_CD206_CD73_MCT4_panCK	Macrophages	M2	Macrophages	M2	TRUE		Macrophages	1889	Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
247	CD163_CD206_CD56_TIM3	Macrophages	M2	Macrophages	M2	TRUE		Macrophages	2442	Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
248	CD11b_CD163_CD206_CD68	Macrophages	M2	Macrophages	M2	TRUE		LowerConf Macrophages	2547	Excluded Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
249	CD163_CD206_CD68_GZMB	Macrophages	M2	Macrophages	M2	TRUE	NA	Macrophages|LowerConf Macrophages	2615	Macrophages_Excluded Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
250	CD163_CD206_CD38_CD68	Macrophages	M2	Macrophages	M2	TRUE		LowerConf Macrophages	3130	Excluded Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
251	CD163_CD206_MHCII	Macrophages	M2	Macrophages	M2	TRUE		Macrophages	3733	Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
252	CD14_CD16_CD163_CD206_CD68_PDL1_TCRd	Macrophages	M2	Macrophages	M2	TRUE		LowerConf Macrophages	4646	Excluded Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
253	CD11c_CD163_CD206_CD66b_CD68_MHCII_TCRd	Macrophages	M2	Macrophages	M2	TRUE		LowerConf Macrophages	5511	Excluded Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
254	CD16_CD163_CD206_CD68_TCRd	Macrophages	M2	Macrophages	M2	TRUE	NA	LowerConf Macrophages	9721	Excluded Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
255	CD163_CD206_CD38	Macrophages	M2	Macrophages	M2	TRUE	NA	Macrophages	9822	Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
256	CD14_CD16_CD163_CD206_CD68	Macrophages	M2	Macrophages	M2	TRUE		LowerConf Macrophages	10371	Excluded Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
257	CD11c_CD16_CD163_CD206_MHCII_TIM3	Macrophages	M2	Macrophages	M2	TRUE	check	Macrophages	13302	Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
258	CD14_CD163_CD206_CD68	Macrophages	M2	Macrophages	M2	TRUE		LowerConf Macrophages|Macrophages	19314	Excluded Macrophages_Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
259	CD11b_CD163_CD206_CD68_GZMB_MPO	Macrophages	M2	Macrophages	M2	TRUE	NA	Macrophages|LowerConf Macrophages	22582	Macrophages_Excluded Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
260	CD16_CD163_CD206	Macrophages	M2	Macrophages	M2	TRUE	NA	LowerConf Macrophages|Macrophages	28672	Excluded Macrophages_Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
261	CD14_CD16_CD163_CD206	Macrophages	M2	Macrophages	M2	TRUE		LowerConf Macrophages|Macrophages	48836	Excluded Macrophages_Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
262	CD163_CD206	Macrophages	M2	Macrophages	M2	TRUE	NA	Macrophages|LowerConf Macrophages	67768	Macrophages_Excluded Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
263	CD16_CD163_CD206_CD68	Macrophages	M2	Macrophages	M2	TRUE	NA	LowerConf Macrophages|Macrophages	77526	Excluded Macrophages_Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
264	CD163_CD206_CD68	Macrophages	M2	Macrophages	M2	TRUE	NA	LowerConf Macrophages	83247	Excluded Macrophages	Vimentin,CD45,CD11b,CD14,CD68,CD163,CD206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
265	CD14_CD4_CD68	Macrophages	Macrophages	Macrophages	Macrophages	TRUE		Monocytes	508	Monocytes	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
266	CD11b_CD14_CD16_CD68	Macrophages	Macrophages	Macrophages	Macrophages	TRUE		Monocytes	524	Monocytes	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
267	CD16_CD163_CD206_CD68_MHCII	Macrophages	Macrophages	Macrophages	Macrophages	NA	NA	Macrophages	8289	Macrophages	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
268	CD206_CD68	Macrophages	Macrophages	Macrophages	Macrophages	NA	NA	LowerConf Macrophages	10698	Excluded Macrophages	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
269	CD163_CD206_CD68	Macrophages	Macrophages	Macrophages	Macrophages	NA	NA	LowerConf Macrophages|Macrophages	22299	Excluded Macrophages_Macrophages	Vimentin,CD45,CD11b,CD14,CD68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
270	CD11b_CD11c_CD14_CD16_CD56_CD66b_KIR2DL3_MCT4_MHCII_panactin_PDL1_TCRd_TIM3	Monocytes	Cytotoxic lymphocytes	Myeloid cells	mDC	FALSE		Monocytes	276	Monocytes	Vimentin,CD45,CD11b,CD11c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
271	CD11b_CD11c_CD14_CD16_MHCII_TCRd	Monocytes	mDC	Myeloid cells	mDC	FALSE		Monocytes	628	Monocytes	Vimentin,CD45,CD11b,CD11c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
272	CD45_CLEC9a	Leukocytes	Leukocytes	Myeloid cells	mDC	FALSE		LowerConf CD4 T cells	2056	Excluded CD4 T cells	Vimentin,CD45,CD11b,CD11c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
273	CD11b_CD14_CD16_MCT4	Monocytes	Monocytes	Monocytes	Monocytes	TRUE	NA	Monocytes	498	Monocytes	Vimentin,CD45,CD11b,CD14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
274	CD14_CD16	Monocytes	Monocytes	Monocytes	Monocytes	TRUE		Monocytes	1071	Monocytes	Vimentin,CD45,CD11b,CD14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
275	CD11b_CD14_CD16	Monocytes	Monocytes	Monocytes	Monocytes	TRUE		Monocytes	1244	Monocytes	Vimentin,CD45,CD11b,CD14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
276	CD14	Monocytes	Monocytes	Monocytes	Monocytes	TRUE		LowerConf Monocytes	3388	Excluded Monocytes	Vimentin,CD45,CD11b,CD14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
277	CD163_CD38_CD66b_KIR2DL3_LAG3_TCRd	Macrophages	Tgd	Myeloid cells	Myeloid cells	FALSE	NA	LowerConf Macrophages	82	Excluded Macrophages	Vimentin,CD45,CD11b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
278	CD11b_CD38_CD66b_KIR2DL3_PDL1_TCRd	Myeloid cells	Tgd	Myeloid cells	Myeloid cells	FALSE	check	LowerConf Myeloid cells	87	Excluded Myeloid cells	Vimentin,CD45,CD11b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
279	CD11b_CD16_GZMB	Myeloid cells	Myeloid cells	Myeloid cells	Myeloid cells	TRUE	NA	LowerConf Myeloid cells	193	Excluded Myeloid cells	Vimentin,CD45,CD11b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
280	CD11b_CD14_CD20_CD73_CD79a	B cells	B cells	Myeloid cells	Myeloid cells	FALSE		Monocytes	264	Monocytes	Vimentin,CD45,CD11b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
281	CD11b_CD16_GZMB_KIR2DL3	Myeloid cells	NK cells	Myeloid cells	Myeloid cells	FALSE		Myeloid cells	1446	Myeloid cells	Vimentin,CD45,CD11b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
282	CD11b	Myeloid cells	Myeloid cells	Myeloid cells	Myeloid cells	TRUE		Myeloid cells|LowerConf Myeloid cells	9026	Myeloid cells_Excluded Myeloid cells	Vimentin,CD45,CD11b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
283	CAIX_CD11b_CD14_CD16_IDO_KIR2DL3_LAG3_MCT4_MPO_TCRd_TIM3_VISTA	Monocytes	Neutrophils	Myeloid cells	Neutrophils	FALSE	check	Monocytes	116	Monocytes	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
284	CD11b_CD14_CD16_CD38_MPO	Monocytes	Neutrophils	Myeloid cells	Neutrophils	FALSE	check	Monocytes	261	Monocytes	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
285	CD11b_CD14_CD16_CD68_MPO	Macrophages	Neutrophils	Myeloid cells	Neutrophils	FALSE	NA	Monocytes	336	Monocytes	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
286	CD11b_CD68_CD73_CD79a_CLEC9a_MPO_panCK_PDL1	Epithelial cells	Neutrophils	Myeloid cells	Neutrophils	FALSE	NA	Myeloid cells	364	Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
287	CD11b_CD14_MPO_VISTA	Monocytes	Neutrophils	Myeloid cells	Neutrophils	FALSE	NA	Monocytes	518	Monocytes	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
288	CD11b_CD45_CLEC9a_MPO	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE		LowerConf Myeloid cells	522	Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
289	CD11b_GZMB_IDO_MCT4_MPO_PDL1	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE		Myeloid cells	613	Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
290	CD11b_CD14_GZMB_MPO	Monocytes	Neutrophils	Myeloid cells	Neutrophils	FALSE	NA	Monocytes	646	Monocytes	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
291	CD11b_CD14_CD16_CD163_CD56_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_MPO_panactin_PDL1_TCRd_TIM3_VISTA	Macrophages	Cytotoxic lymphocytes	Myeloid cells	Neutrophils	FALSE	NA	Monocytes	761	Monocytes	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
292	CAIX_CD103_CD11b_CD73_CLEC9a_GZMB_IDO_LAG3_MCT4_MPO_panCK_PDL1	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE		Myeloid cells	789	Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
293	CD11b_CD14_CD31_CD68_MPO_VISTA	Macrophages	Neutrophils	Myeloid cells	Neutrophils	FALSE	NA	Monocytes	808	Monocytes	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
294	CAIX_CD11b_CD73_CLEC9a_GZMB_LAG3_MCT4_MPO_panactin_panCK	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE		Myeloid cells	1208	Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
295	CD11b_CD73_CLEC9a_MCT4_MPO_panactin	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE	NA	LowerConf Myeloid cells	1225	Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
296	CD11b_CD68_GZMB_MCT4_MPO	Macrophages	Neutrophils	Myeloid cells	Neutrophils	FALSE	NA	LowerConf Myeloid cells	1235	Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
297	CD11b_CD14_MPO	Monocytes	Neutrophils	Myeloid cells	Neutrophils	FALSE	NA	Monocytes	1260	Monocytes	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
298	CD11b_CD38_GZMB_MPO	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE	NA	Myeloid cells|LowerConf Myeloid cells	1383	Myeloid cells_Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
299	CD11b_CD14_CD68_MPO_VISTA	Macrophages	Neutrophils	Myeloid cells	Neutrophils	FALSE		Monocytes	1481	Monocytes	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
300	CD11b_CLEC9a_GZMB_MPO_TCRd	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE		Myeloid cells	1546	Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
301	CD11b_GZMB_MPO_VISTA	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE	NA	LowerConf Myeloid cells	1546	Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
302	CD11b_CLEC9a_GZMB_MCT4_MPO_PDL1_TCRd	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE		LowerConf Myeloid cells	1749	Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
303	CAIX_CD11b_CLEC9a_GZMB_KIR2DL3_LAG3_MCT4_MPO_panCK_PDL1_VISTA	Epithelial cells	Neutrophils	Myeloid cells	Neutrophils	FALSE	NA	LowerConf Myeloid cells	1838	Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
304	CD11b_CD68_CLEC9a_GZMB_MCT4_MPO_PDL1	Macrophages	Neutrophils	Myeloid cells	Neutrophils	FALSE		LowerConf Myeloid cells	1838	Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
305	CD11b_GZMB_MPO_PDL1	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE	NA	LowerConf Myeloid cells	2066	Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
306	CD11b_CD31_GZMB_MPO	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE	NA	Myeloid cells	2334	Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
307	CD11b_CLEC9a_GZMB_MCT4_MPO_PDL1_VISTA	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE	NA	LowerConf Myeloid cells	2653	Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
308	CD11b_GZMB_MPO_panCK	Epithelial cells	Neutrophils	Myeloid cells	Neutrophils	FALSE	check	LowerConf Myeloid cells	2660	Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
309	CD103_CD11b_CLEC9a_GZMB_KIR2DL3_LAG3_MCT4_MPO_panCK_PDL1_TCRd_VISTA	Epithelial cells	Neutrophils	Myeloid cells	Neutrophils	FALSE	check	LowerConf Myeloid cells	2690	Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
310	CD11b_CD68_GZMB_MPO	Macrophages	Neutrophils	Myeloid cells	Neutrophils	FALSE	NA	Myeloid cells	3109	Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
311	CD11b_GZMB_MCT4_MPO	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE		LowerConf Myeloid cells	3640	Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
312	CD11b_CD14_CD163_CD68_MPO_VISTA	Macrophages	CD163+ Macrophages	Myeloid cells	Neutrophils	FALSE	NA	Macrophages	4270	Macrophages	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
313	CD11b_CLEC9a_GZMB_KIR2DL3_MCT4_MPO_PDL1_TCRd_VISTA	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE	NA	LowerConf Myeloid cells	4924	Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
314	CD11b_MPO	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE	NA	Myeloid cells|LowerConf Myeloid cells	5137	Myeloid cells_Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
315	CD11b_GZMB_MPO	Myeloid cells	Neutrophils	Myeloid cells	Neutrophils	TRUE	NA	Myeloid cells|LowerConf Myeloid cells	43195	Myeloid cells_Excluded Myeloid cells	Vimentin,CD45,CD11b,CD66b,MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
