positive	OldMajorType	OldCellType	majorType	cellType	Review	Comment	mostLikelyCelltype	cellCount	clusters	cellType_markers	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
73	CAIX_CD103_CD11c_CD163_CD20_CD206_CD38_CD4_CD45_CD56_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	FALSE		Macrophages	859	Macrophages		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	CAIX_CD31_CD68_LAG3_TIM3	Epithelial cells Region	Epithelial cells Region	Ambiguous	Ambiguous	FALSE	NA	LowerConf Endothelial cells	1034	Excluded Endothelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	CD103_CD3_CD8a_panCK_PD1	Epithelial cells Region	Epithelial cells Region	Ambiguous	Ambiguous	FALSE	NA	LowerConf CD8 T cells	1046	Excluded CD8 T cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	CD31_CD68_CD73	Ambiguous	Ambiguous	Ambiguous	Ambiguous	TRUE		LowerConf Endothelial cells	1138	Excluded Endothelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
77	CD11c_CD20_CD38_CD45_CD66b_CD73_CD79a_CD8a_IDO_MHCII_panactin_PD1	Ambiguous	mDC	Ambiguous	Ambiguous	FALSE	NA	LowerConf B cells	1352	Excluded B cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
78	CD20_CD45_CD79a_CD8a_PD1	Ambiguous	B cells	Ambiguous	Ambiguous	FALSE		LowerConf B cells	1745	Excluded B cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	CAIX_CD31_CD68_LAG3_TIM3	Ambiguous	Ambiguous	Ambiguous	Ambiguous	TRUE		LowerConf Endothelial cells	1918	Excluded Endothelial cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	CD163_CD206_CD31	Macrophages	Endothelial cells	Ambiguous	Ambiguous	FALSE	NA	Macrophages	2670	Macrophages		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	CD11c_CD20_CD3_CD38_CD4_CD45_CD56_CD66b_CD79a_CD8a_IDO_MHCII_panactin_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	FALSE		B cells	3925	B cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
82	CD20_CD3_CD4_CD45_CD79a_CD8a	B cells	Lymphocytes	Ambiguous	Ambiguous	FALSE		B cells	6045	B cells		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
